2,256,31,1
3,512,5,2
4,768,6,1
5,1024,4,0
6,1280,3,1
7,1536,3,1
8,1792,4,1
9,2048,4,1
10,2304,3,1
11,2560,3,1
12,2816,5,1
13,3072,4,1
14,3328,8,1
15,3584,5,1
16,3840,5,1
17,4096,4,1
18,4352,4,1
19,4608,4,1
20,4864,4,1
